과목명,학교명,학년
보건,만경고등학교,2학년
화법과 언어,만경여고등학교,2학년
독서와 작문,만경여고등학교,2학년
대수,만경여고등학교,2학년
확률과 통계,만경여고등학교,2학년
영어Ⅰ,만경여고등학교,2학년
영어Ⅱ,만경여고등학교,2학년
스포츠 생활1,만경여고등학교,2학년
스포츠 생활2,만경여고등학교,2학년
음악 연주와 창작,만경여고등학교,2학년
사회와 문화,만경여고등학교,2학년
동아시아 역사 기행,만경여고등학교,2학년
법과 사회,만경여고등학교,2학년
기술·가정,만경여고등학교,2학년
정보,만경여고등학교,2학년
인공지능 기초,만경여고등학교,2학년
인체 구조와 기능,만경여고등학교,2학년
간호의 기초,만경여고등학교,2학년
기업과 경영,만경여고등학교,2학년
세계시민과 지리,만경여고등학교,2학년
세계사,만경여고등학교,2학년
여행지리,만경여고등학교,2학년
물리학,만경여고등학교,2학년
생명과학,만경여고등학교,2학년
생물의 유전,만경여고등학교,2학년
스포츠 문화,군산중앙고등학교,2학년
스포츠 과학,군산중앙고등학교,2학년
미술,군산중앙고등학교,2학년
미술 창작,군산중앙고등학교,2학년
문학,군산중앙고등학교,2학년
대수,군산중앙고등학교,2학년
영어Ⅰ,군산중앙고등학교,2학년
정보,군산중앙고등학교,2학년
중국어,군산중앙고등학교,2학년
일본어,군산중앙고등학교,2학년
세계시민과 지리,군산중앙고등학교,2학년
사회와 문화,군산중앙고등학교,2학년
현대사회와 윤리,군산중앙고등학교,2학년
경제,군산중앙고등학교,2학년
생태와 환경,군산중앙고등학교,2학년
물리학,군산중앙고등학교,2학년
화학,군산중앙고등학교,2학년
생명과학,군산중앙고등학교,2학년
지구과학,군산중앙고등학교,2학년
주제 탐구 독서,군산중앙고등학교,2학년
기하,군산중앙고등학교,2학년
실생활 영어 회화,군산중앙고등학교,2학년
음악 연주와 창작,군산중앙고등학교,2학년
사회문제 탐구,군산중앙고등학교,2학년
기후변화와 지속가능한 세계,군산중앙고등학교,2학년
인간과 심리,군산중앙고등학교,2학년
보건,군산중앙고등학교,2학년
과학의 역사와 문화,군산중앙고등학교,2학년
융합과학 탐구,군산중앙고등학교,2학년
화법과 언어,군산중앙고등학교,2학년
독서와 작문,군산중앙고등학교,2학년
미적분Ⅰ,군산중앙고등학교,2학년
확률과 통계,군산중앙고등학교,2학년
영어Ⅱ,군산중앙고등학교,2학년
정보,군산중앙고등학교,2학년
중국어,군산중앙고등학교,2학년
일본어,군산중앙고등학교,2학년
한국지리 탐구,군산중앙고등학교,2학년
법과 사회,군산중앙고등학교,2학년
경제,군산중앙고등학교,2학년
인문학과 윤리,군산중앙고등학교,2학년
생태와 환경,군산중앙고등학교,2학년
물리학,군산중앙고등학교,2학년
화학,군산중앙고등학교,2학년
생명과학,군산중앙고등학교,2학년
지구과학,군산중앙고등학교,2학년
역학과 에너지,군산중앙고등학교,2학년
물질과 에너지,군산중앙고등학교,2학년
세포와 물질대사,군산중앙고등학교,2학년
지구시스템과학,군산중앙고등학교,2학년
주제 탐구 독서,군산중앙고등학교,2학년
기하,군산중앙고등학교,2학년
세계 문화와 영어,군산중앙고등학교,2학년
음악 연주와 창작,군산중앙고등학교,2학년
사회문제 탐구,군산중앙고등학교,2학년
기후변화와 지속가능한 세계,군산중앙고등학교,2학년
인간과 심리,군산중앙고등학교,2학년
보건,군산중앙고등학교,2학년
과학의 역사와 문화,군산중앙고등학교,2학년
융합과학 탐구,군산중앙고등학교,2학년
독서와 작문,김제고등학교,2학년
문학,김제고등학교,2학년
대수,김제고등학교,2학년
미적분Ⅰ,김제고등학교,2학년
확률과 통계,김제고등학교,2학년
영어Ⅰ,김제고등학교,2학년
영어Ⅱ,김제고등학교,2학년
운동과 건강,김제고등학교,2학년
스포츠 생활1,김제고등학교,2학년
음악 감상과 비평,김제고등학교,2학년
미술 감상과 비평,김제고등학교,2학년
세계시민과 지리,김제고등학교,2학년
세계사,김제고등학교,2학년
사회와 문화,김제고등학교,2학년
물리학,김제고등학교,2학년
화학,김제고등학교,2학년
생명과학,김제고등학교,2학년
지구과학,김제고등학교,2학년
한국지리 탐구,김제고등학교,2학년
동아시아 역사 기행,김제고등학교,2학년
법과 사회,김제고등학교,2학년
역학과 에너지,김제고등학교,2학년
물질과 에너지,김제고등학교,2학년
세포와 물질대사,김제고등학교,2학년
지구시스템과학,김제고등학교,2학년
기술·가정,김제고등학교,2학년
정보,김제고등학교,2학년
화법과 언어,김제서고등학교,2학년
독서와 작문,김제서고등학교,2학년
대수,김제서고등학교,2학년
미적분Ⅰ,김제서고등학교,2학년
영어Ⅰ,김제서고등학교,2학년
영어Ⅱ,김제서고등학교,2학년
운동과 건강,김제서고등학교,2학년
스포츠 생활1,김제서고등학교,2학년
음악 감상과 비평,김제서고등학교,2학년
음악과 미디어,김제서고등학교,2학년
한문,김제서고등학교,2학년
한문 고전 읽기,김제서고등학교,2학년
세계시민과 지리,김제서고등학교,2학년
세계사,김제서고등학교,2학년
사회와 문화,김제서고등학교,2학년
현대사회와 윤리,김제서고등학교,2학년
물리학,김제서고등학교,2학년
화학,김제서고등학교,2학년
생명과학,김제서고등학교,2학년
지구과학,김제서고등학교,2학년
동아시아 역사 기행,김제서고등학교,2학년
정치,김제서고등학교,2학년
법과 사회,김제서고등학교,2학년
윤리와 사상,김제서고등학교,2학년
물질과 에너지,김제서고등학교,2학년
세포와 물질대사,김제서고등학교,2학년
생물의 유전,김제서고등학교,2학년
행성우주과학,김제서고등학교,2학년
스포츠 문화,김제여고등학교,2학년
스포츠 과학,김제여고등학교,2학년
문학,김제여고등학교,2학년
주제 탐구 독서,김제여고등학교,2학년
대수,김제여고등학교,2학년
확률과 통계,김제여고등학교,2학년
영어Ⅰ,김제여고등학교,2학년
영미 문학 읽기,김제여고등학교,2학년
음악 감상과 비평,김제여고등학교,2학년
기술·가정,김제여고등학교,2학년
중국어,김제여고등학교,2학년
일본어,김제여고등학교,2학년
한문,김제여고등학교,2학년
세계사,김제여고등학교,2학년
사회와 문화,김제여고등학교,2학년
현대사회와 윤리,김제여고등학교,2학년
경제,김제여고등학교,2학년
화학,김제여고등학교,2학년
생명과학,김제여고등학교,2학년
지구과학,김제여고등학교,2학년
창업 일반,김제여고등학교,2학년
독서와 작문,김제여고등학교,2학년
주제 탐구 독서,김제여고등학교,2학년
미적분Ⅰ,김제여고등학교,2학년
기하,김제여고등학교,2학년
영어Ⅱ,김제여고등학교,2학년
영어 독해와 작문,김제여고등학교,2학년
미술 감상과 비평,김제여고등학교,2학년
기술·가정,김제여고등학교,2학년
중국어,김제여고등학교,2학년
일본어,김제여고등학교,2학년
한문,김제여고등학교,2학년
세계사,김제여고등학교,2학년
사회와 문화,김제여고등학교,2학년
현대사회와 윤리,김제여고등학교,2학년
한국지리 탐구,김제여고등학교,2학년
생태와 환경,김제여고등학교,2학년
물리학,김제여고등학교,2학년
화학,김제여고등학교,2학년
생명과학,김제여고등학교,2학년
지구과학,김제여고등학교,2학년
화학 실험,김제여고등학교,2학년
생명과학 실험,김제여고등학교,2학년
체육1,남원고등학교,2학년
체육2,남원고등학교,2학년
생활과학 탐구,남원고등학교,2학년
중국어,남원고등학교,2학년
일본어,남원고등학교,2학년
한문,남원고등학교,2학년
로봇과 공학세계,남원고등학교,2학년
한문 고전 읽기,남원고등학교,2학년
심화 중국어,남원고등학교,2학년
심화 일본어,남원고등학교,2학년
문학,남원고등학교,2학년
대수,남원고등학교,2학년
영어Ⅰ,남원고등학교,2학년
세계시민과 지리,남원고등학교,2학년
사회와 문화,남원고등학교,2학년
현대사회와 윤리,남원고등학교,2학년
동아시아 역사 기행,남원고등학교,2학년
물리학,남원고등학교,2학년
화학,남원고등학교,2학년
생명과학,남원고등학교,2학년
지구과학,남원고등학교,2학년
화법과 언어,남원고등학교,2학년
주제 탐구 독서,남원고등학교,2학년
미적분Ⅰ,남원고등학교,2학년
기하,남원고등학교,2학년
영어Ⅱ,남원고등학교,2학년
한국지리 탐구,남원고등학교,2학년
정치,남원고등학교,2학년
법과 사회,남원고등학교,2학년
윤리와 사상,남원고등학교,2학년
역사로 탐구하는 현대 세계,남원고등학교,2학년
전자기와 양자,남원고등학교,2학년
물질과 에너지,남원고등학교,2학년
세포와 물질대사,남원고등학교,2학년
지구시스템과학,남원고등학교,2학년
독서와 작문,남원서진여고등학교,2학년
문학,남원서진여고등학교,2학년
대수,남원서진여고등학교,2학년
미적분Ⅰ,남원서진여고등학교,2학년
영어Ⅰ,남원서진여고등학교,2학년
영어Ⅱ,남원서진여고등학교,2학년
스포츠 문화,남원서진여고등학교,2학년
스포츠 과학,남원서진여고등학교,2학년
음악,남원서진여고등학교,2학년
음악 감상과 비평,남원서진여고등학교,2학년
정보,남원서진여고등학교,2학년
인공지능 기초,남원서진여고등학교,2학년
세계시민과 지리,남원서진여고등학교,2학년
세계사,남원서진여고등학교,2학년
사회와 문화,남원서진여고등학교,2학년
현대사회와 윤리,남원서진여고등학교,2학년
경제,남원서진여고등학교,2학년
윤리와 사상,남원서진여고등학교,2학년
물리학,남원서진여고등학교,2학년
화학,남원서진여고등학교,2학년
생명과학,남원서진여고등학교,2학년
지구과학,남원서진여고등학교,2학년
세계시민과 지리,남원서진여고등학교,2학년
세계사,남원서진여고등학교,2학년
사회와 문화,남원서진여고등학교,2학년
현대사회와 윤리,남원서진여고등학교,2학년
경제,남원서진여고등학교,2학년
윤리와 사상,남원서진여고등학교,2학년
물리학,남원서진여고등학교,2학년
역학과 에너지,남원서진여고등학교,2학년
물질과 에너지,남원서진여고등학교,2학년
세포와 물질대사,남원서진여고등학교,2학년
지구시스템과학,남원서진여고등학교,2학년
화법과 언어,남원여고등학교,2학년
문학,남원여고등학교,2학년
대수,남원여고등학교,2학년
미적분Ⅰ,남원여고등학교,2학년
영어Ⅰ,남원여고등학교,2학년
영어Ⅱ,남원여고등학교,2학년
체육1,남원여고등학교,2학년
체육2,남원여고등학교,2학년
세계시민과 지리,남원여고등학교,2학년
세계사,남원여고등학교,2학년
사회와 문화,남원여고등학교,2학년
현대사회와 윤리,남원여고등학교,2학년
정치,남원여고등학교,2학년
물리학,남원여고등학교,2학년
화학,남원여고등학교,2학년
생명과학,남원여고등학교,2학년
지구과학,남원여고등학교,2학년
한국지리 탐구,남원여고등학교,2학년
동아시아 역사 기행,남원여고등학교,2학년
법과 사회,남원여고등학교,2학년
경제,남원여고등학교,2학년
윤리와 사상,남원여고등학교,2학년
역학과 에너지,남원여고등학교,2학년
물질과 에너지,남원여고등학교,2학년
세포와 물질대사,남원여고등학교,2학년
지구시스템과학,남원여고등학교,2학년
과학의 역사와 문화,남원여고등학교,2학년
음악 연주와 창작,남원여고등학교,2학년
미술 창작,남원여고등학교,2학년
기술·가정,남원여고등학교,2학년
정보,남원여고등학교,2학년
중국어,남원여고등학교,2학년
일본어,남원여고등학교,2학년
음악 연주와 창작,남원여고등학교,2학년
미술 창작,남원여고등학교,2학년
기술·가정,남원여고등학교,2학년
정보,남원여고등학교,2학년
중국어,남원여고등학교,2학년
일본어,남원여고등학교,2학년
스포츠 문화,덕암고등학교,2학년
스포츠 과학,덕암고등학교,2학년
중국어,덕암고등학교,2학년
일본어,덕암고등학교,2학년
독서와 작문,덕암고등학교,2학년
대수,덕암고등학교,2학년
기하,덕암고등학교,2학년
수학과제 탐구,덕암고등학교,2학년
영어Ⅰ,덕암고등학교,2학년
세계시민과 지리,덕암고등학교,2학년
세계사,덕암고등학교,2학년
사회와 문화,덕암고등학교,2학년
현대사회와 윤리,덕암고등학교,2학년
물리학,덕암고등학교,2학년
화학,덕암고등학교,2학년
생명과학,덕암고등학교,2학년
지구과학,덕암고등학교,2학년
주제 탐구 독서,덕암고등학교,2학년
