학교명,과목명,공식교과군
김제서고등학교,생물의 유전,과학과
김제서고등학교,세포와 물질대사,과학과
김제서고등학교,지구과학,과학과
김제서고등학교,통합과학1,과학과
김제서고등학교,통합과학2,과학과
김제서고등학교,행성우주과학,과학과
김제서고등학교,화학,과학과
김제서고등학교,화학 반응의 세계,과학과
김제서고등학교,교육의 이해,교양과
김제서고등학교,생태와 환경,교양과
김제서고등학교,인간과 심리,교양과
김제서고등학교,인간과 철학,교양과
김제서고등학교,진로와 직업,교양과
김제서고등학교,공통국어1,국어과
김제서고등학교,공통국어2,국어과
김제서고등학교,독서와 작문,국어과
김제서고등학교,문학,국어과
김제서고등학교,주제 탐구 독서,국어과
김제서고등학교,화법과 언어,국어과
김제서고등학교,윤리와 사상,도덕과
김제서고등학교,현대사회와 윤리,도덕과
김제서고등학교,보건,보건·복지(전공 일반)
김제서고등학교,동아시아 역사 기행,사회과
김제서고등학교,법과 사회,사회과
김제서고등학교,사회와 문화,사회과
김제서고등학교,세계사,사회과
김제서고등학교,세계시민과 지리,사회과
김제서고등학교,정치,사회과
김제서고등학교,통합사회1,사회과
김제서고등학교,통합사회2,사회과
김제서고등학교,한국사1,사회과
김제서고등학교,한국사2,사회과
김제서고등학교,공통수학1,수학과
김제서고등학교,공통수학2,수학과
김제서고등학교,대수,수학과
김제서고등학교,미적분Ⅰ,수학과
김제서고등학교,미적분Ⅱ,수학과
김제서고등학교,확률과 통계,수학과
김제서고등학교,공통영어1,영어과
김제서고등학교,공통영어2,영어과
김제서고등학교,심화 영어 독해와 작문,영어과
김제서고등학교,영어 독해와 작문,영어과
김제서고등학교,영어Ⅰ,영어과
김제서고등학교,영어Ⅱ,영어과
김제서고등학교,음악,예술과
김제서고등학교,음악 감상과 비평,예술과
김제서고등학교,음악 연주와 창작,예술과
김제서고등학교,음악 이론,예술과
김제서고등학교,음악과 미디어,예술과
김제서고등학교,음악사,예술과
김제서고등학교,스포츠 문화,체육과
김제서고등학교,스포츠 생활1,체육과
